Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Western and Central,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.24068371,58.51455297,57.24334464,56.40281153,55.94774104,55.81667324,56.51753178,58.17406456,60.15534694,61.83834043,62.56761077,61.76830946,59.76817495,57.25734183,54.92302424,53.44981645,52.62390387,51.8295024,51.15323367,50.6863069,50.50789257,54.1897203,58.2132168,46.95926935,47.13512545,71.29505109,62.8941317,60.34461804,56.09995083,50.7719621,54.8918201,56.45745399,56.45745399,56.45745399
Africa Western and Central,Total greenhouse gas emissions excluding LULUCF (% change from 1990),53.08269461,3.934699646,9.77986716,11.15330149,17.85656088,26.92723657,43.58726392,38.96042978,35.83922151,35.16153322,44.87271561,48.31602653,35.9371468,47.20582217,47.63017961,48.58687122,44.60711419,40.64125947,43.6554483,41.85143421,50.51174179,57.54526244,61.60312473,65.4797567,70.48497714,73.37891867,75.82363526,79.50741902,85.52102413,92.44291299,88.51796019,92.8987301,94.38640699,97.12291963
Africa Western and Central,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),2.19327578,2.22011463,2.281227738,2.248219775,2.321353525,2.432855873,2.678317901,2.522484872,2.398660375,2.322379715,2.421686232,2.410751367,2.148302654,2.261832804,2.205090193,2.157244978,2.040963135,1.929756825,1.916189547,1.840021807,1.898697949,1.932107644,1.92751097,1.920572438,1.925370547,1.905905358,1.881802246,1.871428646,1.885734859,1.908940643,1.825858746,1.8246427,1.796327159,1.778662367
Arab World,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),675.5995,695.405,741.1032,792.8218,842.1033,867.1205,889.7174,931.8766,943.6983,959.1949,994.5824,1054.299,1090.0402,1122.2393,1184.848,1268.8428,1332.7533,1386.4762,1489.0313,1541.7715,1634.2053,1678.8153,1798.8966,1837.3419,1901.2005,1946.8165,1970.4441,2000.1477,1984.9822,2010.0404,1918.1944,2005.5031,2053.4305,2089.4414
Arab World,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),3.054163809,3.072479722,3.192236679,3.321922722,3.433509575,3.448098606,3.453320596,3.531726351,3.491071953,3.464533454,3.506669346,3.628226463,3.662570903,3.683577756,3.799737436,3.97372625,4.074203344,4.133140011,4.327413953,4.371369733,4.542205018,4.5598675,4.770973998,4.749155878,4.800313015,4.796052633,4.743015013,4.71887557,4.600947837,4.572471903,4.27290949,4.400698103,4.403588402,4.380929489
Arab World,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),120.6698,126.3132,134.2228,135.4577,139.9871,148.1725,157.2246,154.7959,162.6368,169.3418,167.3526,183.8715,187.439,185.2497,186.8837,204.1954,215.6664,240.0743,255.3476,259.1155,287.1595,288.7279,289.9756,297.429,305.8623,314.7391,311.2824,299.122,286.1781,296.975,282.4139,289.8397,297.432,304.3867
Arab World,"Life expectancy at birth, total (years)",62.75597273,62.82750662,63.57557628,64.60128011,64.85008323,65.2025061,65.5268891,65.85299249,66.19357929,66.54993439,66.89069989,67.24061704,67.58063028,67.65033495,67.7331029,68.04050241,68.49126524,68.87922644,69.25813276,69.70690354,69.8073221,69.36333769,69.8423166,70.19210585,70.53506663,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327,70.72655881,70.40411449,71.8760956,72.44467836
Arab World,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",40.31570748,40.4983139,40.77382734,41.0010834,41.18527188,41.33118059,41.58841612,42.06226703,42.63273302,43.16032307,43.50640562,43.65364727,43.71982303,43.76984095,43.86895143,44.09749569,44.79640059,46.00386381,47.37407594,48.52974351,49.02234764,45.28148032,46.51448636,47.43770223,42.87087448,47.81802088,44.58579896,44.24919136,46.34634729,44.54740942,39.71321469,43.94374985,43.94374985,43.94374985
Arab World,Total greenhouse gas emissions excluding LULUCF (% change from 1990),74.22951721,-3.584823209,1.550149442,7.929161817,13.54133723,16.61177078,20.11970564,25.05804305,25.74653211,28.382907,34.65984579,38.43958291,40.45035648,46.64428314,52.84584865,61.04002264,67.27123931,70.93652043,80.31881101,84.27162426,92.96388691,96.71762176,109.5334575,112.4298155,118.1382263,123.1564187,129.1134455,132.5814171,133.4777974,136.4460781,126.5006773,135.9991531,143.5636803,146.719474
Arab World,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),5.699026418,5.370247249,5.514353774,5.700991709,5.836124682,5.845750516,5.877555479,5.97500029,5.864342234,5.845784034,5.985353745,6.006044384,5.949274874,6.068022303,6.179342375,6.358015929,6.446320172,6.423921433,6.606376372,6.586484204,6.76135626,6.735816277,7.005705731,6.922127275,6.943382302,6.930522349,6.952461941,6.917499463,6.82234918,6.780723526,6.360602314,6.528393837,6.584713774,6.521344773
Caribbean small states,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),17.1235,17.4057,17.4965,17.1884,19.0443,18.8721,20.0632,20.4536,23.8327,24.2188,24.4347,27.0432,28.5451,32.1153,34.0527,40.3933,43.9981,45.2708,44.6232,43.4641,47.7205,47.3781,45.0128,44.3672,44.6559,44.449,42.3025,40.6518,40.7456,42.6276,38.9368,38.1278,37.4059,36.9648
Caribbean small states,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),4.685017493,4.732684117,4.720461737,4.601789055,5.05985165,4.971684049,5.239549732,5.296564468,6.121002858,6.17003492,6.176260272,6.782696239,7.10289848,7.927765805,8.345086188,9.974964613,10.80256985,11.04474298,10.81783462,10.4811089,11.43462003,11.27752757,10.6452372,10.42050581,10.41768827,10.30297453,9.744126977,9.310695488,9.244274397,9.594038802,8.731590729,8.51225239,8.317394176,8.178226794
Caribbean small states,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),2.6249,2.3519,2.3373,2.2822,2.5103,2.6994,2.8099,2.9703,3.0182,3.0258,3.1555,3.6971,3.0446,3.0868,2.9927,3.3692,2.9672,3.927,3.3692,2.8344,3.665,3.5701,3.7679,3.7681,3.7866,3.2937,2.5899,2.6626,2.5165,2.7031,2.4747,2.8407,2.8651,2.7952
Caribbean small states,"Life expectancy at birth, total (years)",67.04515051,67.21937706,67.3532894,67.47556468,67.52166114,67.55557155,67.62640243,67.73654332,67.98492307,68.20956413,68.39767583,68.66197229,68.8997139,69.0876489,69.36097019,69.63205133,69.93442322,70.29373334,70.54999747,70.79773751,71.0114367,71.26609329,71.40191433,71.56925061,71.77394118,71.86410217,72.05163612,72.17310416,72.2210854,72.12926048,71.93943593,69.92281075,72.83229211,73.171645
Caribbean small states,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.25314621,24.03832509,23.87729614,23.76825025,23.71334253,23.71475701,23.89207616,24.27135574,24.70971727,25.06446644,25.19328235,24.88538558,24.18654371,23.34066168,22.59008428,22.18628715,22.0909626,22.0852207,22.12001425,22.1463765,22.1180198,21.90805506,22.50580423,22.90326493,23.40602171,25.08742367,24.45039716,24.29100785,24.51803539,24.79148791,24.85572484,23.6439611,23.6439611,23.6439611
Caribbean small states,Total greenhouse gas emissions excluding LULUCF (% change from 1990),80.78894737,2.181558391,3.375159364,2.640210617,11.04554551,11.02028411,15.9048119,16.89790054,32.45142115,34.47233285,34.73639338,45.83246168,51.61968968,68.72560203,77.2485603,105.3842298,122.1234572,127.3340149,124.558419,121.0068245,138.5934928,137.429495,126.7218207,124.8327419,126.678008,126.2675103,115.661671,110.5004519,111.0147582,119.8408532,106.9985909,104.0769525,105.2381873,103.6218527
Caribbean small states,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),6.931724629,7.039003308,7.065975309,6.961958215,7.474747636,7.409830088,7.668631228,7.669266662,8.618438389,8.679417175,8.628317522,9.26661495,9.558335382,10.55218601,11.00486231,12.84966322,13.81688706,14.0515583,13.79213792,13.50220972,14.4843153,14.31836894,13.58423723,13.37854729,13.39752332,13.28756654,12.5855584,12.21456481,12.12907172,12.53549859,11.76042798,11.54301682,11.56186698,11.4134725
Central Europe and the Baltics,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),1071.9185,980.4798,906.9701,885.7107,863.2879,868.7895,896.4269,867.2051,812.7633,767.8691,762.7568,775.0201,758.4701,791.4541,789.1983,788.364,811.6941,816.9536,796.2101,728.5057,758.0058,759.6902,732.3501,707.6707,689.3852,699.8398,710.316,737.2788,733.8325,696.2009,651.7116,701.6091,688.8997,627.3074
Central Europe and the Baltics,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),9.679322946,8.875572831,8.236837014,8.048847819,7.846531473,7.907845652,8.177123252,7.925325775,7.44027509,7.04073358,7.033398844,7.198772105,7.091173015,7.422839702,7.422040476,7.43445674,7.673962947,7.752546083,7.582817348,6.951358761,7.259100709,7.292509867,7.046605076,6.832772776,6.674883902,6.796331708,6.919924617,7.204385419,7.189206409,6.834593451,6.438835026,7.001686291,6.884049365,6.262061601
Central Europe and the Baltics,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),211.9945,174.4924,135.508,132.533,140.2425,157.6271,160.3236,155.0198,133.1407,114.2703,120.1033,113.605,110.2811,109.6777,110.3878,106.287,104.9531,105.0942,96.5215,78.3584,77.848,79.6992,76.964,75.907,75.5912,74.4427,74.4252,79.8533,82.9882,81.0711,78.419,83.202,75.9273,71.4614
Central Europe and the Baltics,"Life expectancy at birth, total (years)",70.65633134,70.5752213,70.73283713,70.84598662,70.86954394,71.02542143,71.33605802,71.51725807,71.89823768,72.18456107,72.71972472,73.09614819,73.24241549,73.38225278,73.73043493,73.84499514,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,76.00339447,76.37473501,76.68876964,76.57551198,76.97030623,76.92978872,76.97643808,77.26591419,76.01627013,74.72328279,76.65229873,77.89678365
Central Europe and the Baltics,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",27.01572516,26.87435279,26.66636974,26.39290524,26.07247001,25.71898024,25.16630706,24.37837909,23.56425607,22.93332986,22.6877032,22.84481835,23.16474391,23.5306092,23.83260514,23.95806186,23.83410821,23.53930425,23.17525061,22.84038861,22.63717509,23.15314103,20.99709671,20.0452407,20.13520437,19.43321671,18.3006727,18.84132102,19.20320824,16.23028132,15.73963657,22.67441494,22.67441494,22.67441494
Central Europe and the Baltics,Total greenhouse gas emissions excluding LULUCF (% change from 1990),-28.61683919,-8.657283982,-15.39367289,-18.01396702,-20.2315371,-20.19115206,-18.06162351,-20.27525846,-25.16490677,-28.83764294,-29.40129408,-28.80122155,-30.09168937,-27.88419951,-27.85947659,-28.0076929,-26.32925065,-25.92868665,-27.75091105,-33.16177235,-30.87980007,-30.69737232,-32.58294385,-34.51092503,-35.92127191,-35.03787675,-34.16451904,-32.13234232,-32.46647952,-35.21690403,-38.70023328,-35.0376914,-36.1459596,-40.81813464
Central Europe and the Baltics,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),12.666674,11.5987461,10.77828652,10.45107772,10.17027439,10.18999666,10.48461283,10.22039779,9.609694728,9.152935958,9.131776586,9.276782646,9.168278636,9.487551729,9.516907448,9.523310081,9.770162241,9.859988088,9.651941194,8.946250482,9.285272593,9.331889391,9.099349603,8.869803515,8.703121029,8.849434533,8.996822625,9.302666087,9.280743721,8.921115955,8.495521592,9.09386002,8.950674061,8.287145309
Early-demographic dividend,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),2825.2457,2932.0293,3014.4518,3113.7798,3291.3408,3431.2871,3601.9977,3759.0974,3881.0996,3996.8318,4141.733,4215.8084,4347.8641,4530.8841,4784.4694,4992.0368,5260.5026,5566.3718,5764.5981,5915.6818,6206.7784,6432.5958,6770.1871,6829.0597,7137.3436,7207.7757,7336.1333,7634.7056,7790.1967,7822.8262,7326.6375,7833.4948,8100.7567,8389.5306
Early-demographic dividend,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1.383389601,1.402862257,1.410804046,1.426772888,1.478355405,1.510769918,1.5534582,1.588573019,1.60818389,1.624823694,1.652390826,1.651097111,1.673000433,1.713677144,1.778647297,1.824890669,1.891368851,1.968977022,2.006926075,2.027394156,2.094536512,2.13736334,2.216180728,2.203206359,2.271139504,2.262293069,2.272186677,2.33505396,2.353764031,2.334942348,2.160454699,2.285748055,2.33747514,2.392605068
Early-demographic dividend,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),511.4477,517.7056,520.1919,510.5153,532.4992,568.1595,588.5253,621.6689,642.4177,649.1659,666.5496,657.1619,697.5966,728.3599,763.5553,816.5847,894.3277,945.2396,929.6945,985.5222,1111.6553,1167.238,1121.2584,1128.9095,1189.0946,1198.5075,1195.1236,1273.4754,1299.7564,1312.4376,1243.5655,1321.4505,1339.5315,1398.2462
Early-demographic dividend,"Life expectancy at birth, total (years)",60.63832613,60.92850001,61.39668543,61.73756988,61.97730084,62.40452863,62.7427843,63.09874158,63.4369666,63.7793798,64.21960983,64.55670545,64.96807468,65.27915505,65.51323928,65.97978641,66.39193001,66.76054674,67.02181876,67.49640825,67.82444347,68.26003807,68.60946303,68.96283778,69.32497588,69.63054844,69.94848371,70.27299494,70.54866599,70.84240646,69.88013085,68.17909948,71.43045525,71.79624498
Early-demographic dividend,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",48.36493739,47.94429237,47.59582769,47.32375955,47.13179377,47.00163088,46.99879079,47.16114536,47.41361666,47.669605,47.84296112,47.9505525,48.03634604,48.05701661,47.97481056,47.74812826,46.79600422,44.97750263,42.88537935,41.12186553,40.26938706,45.848436,52.76134682,54.03355,54.73115548,52.63426415,53.02509077,48.07827354,48.97067885,44.14951222,37.41580248,47.41656334,47.41656334,47.41656334
Early-demographic dividend,Total greenhouse gas emissions excluding LULUCF (% change from 1990),63.48352374,2.903572725,5.018101805,7.051629317,11.0763184,14.40513538,18.73523861,21.88894854,23.99222535,26.54027066,29.95164877,31.34199207,34.01906799,39.47262782,44.94177062,50.37208129,57.06460792,63.58946112,68.5886048,71.69939348,77.92895975,83.34546154,90.59649639,91.84164195,98.34826722,100.0355147,104.0346973,111.1123722,115.1299522,116.3625834,107.6932594,118.3510279,125.20292,132.320433
Early-demographic dividend,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),2.71582813,2.730808064,2.726066933,2.720659747,2.7672059,2.793835226,2.840205527,2.856945345,2.84963589,2.853206001,2.875586718,2.853049783,2.860228199,2.925829626,2.988571263,3.048879648,3.132141152,3.209502783,3.255401476,3.263744432,3.330292147,3.378907132,3.46045666,3.43282092,3.50065745,3.482320247,3.505054873,3.581230792,3.605200123,3.581860246,3.396853836,3.533800585,3.604204523,3.674808926
East Asia & Pacific,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),4770.9769,4982.0333,5148.4339,5431.4296,5706.3472,6138.5309,6205.2586,6370.4261,6338.5527,6390.814,6713.2241,6937.2486,7327.1525,8038.9349,8850.4033,9647.941,10356.3055,11064.9805,11259.3067,11779.3949,12763.1868,13743.1542,14131.4308,14640.4234,14777.7674,14663.3222,14747.4895,15074.9806,15701.6692,16047.7668,16029.3684,16665.5463,16495.532,17247.0863
East Asia & Pacific,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2.654292703,2.731847581,2.785362356,2.900808481,3.009181673,3.197272757,3.192981064,3.239527905,3.18742919,3.181243197,3.310305693,3.390072064,3.550515583,3.864486679,4.222303832,4.568477271,4.866972401,5.160556937,5.211488283,5.413127447,5.824015456,6.225252411,6.348866057,6.525044089,6.535961895,6.438672848,6.429934257,6.526183026,6.756306086,6.869233704,6.833060596,7.086725215,7.000126704,7.304663951
East Asia & Pacific,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),1266.0035,1306.5728,1329.4931,1395.1982,1453.3203,1645.4059,1547.1727,1537.3822,1557.3468,1436.5484,1487.9383,1548.4356,1570.3257,1732.1062,2108.492,2549.2783,2735.4686,2919.1308,3038.7043,3199.1691,3496.2382,3660.5518,3681.8823,3667.4286,3702.8004,3591.7654,3427.9121,3308.4293,3436.6331,3485.6643,3523.7823,3512.3357,3400.4428,3553.8593
East Asia & Pacific,"Life expectancy at birth, total (years)",68.28254926,68.67519339,69.06510627,69.46456804,69.76099574,70.02439778,70.43330377,70.79012895,71.09963698,71.36755327,71.70283232,72.041306,72.35710581,72.73469089,72.8126606,73.29843455,73.564044,73.89485135,73.84816299,74.36834717,74.62997901,74.82528306,75.10597269,75.33477299,75.56442704,75.79260102,75.98701667,76.07899236,76.39142294,76.58626193,76.54343761,76.15300938,76.67678344,76.65951833
East Asia & Pacific,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",41.36765941,41.11113732,40.89151706,40.7231459,40.62103945,40.59748498,40.64532566,40.7383555,40.85844629,40.99267326,41.11918351,41.25446427,41.40109479,41.5101858,41.53542607,41.42507037,40.90811349,39.94397539,38.82247869,37.83092749,37.2454491,38.96483416,37.5012369,44.2717617,41.21763317,38.66268159,36.36960111,35.15967894,32.26769347,30.82160562,28.88200604,39.21489956,39.21489956,39.21489956
East Asia & Pacific,Total greenhouse gas emissions excluding LULUCF (% change from 1990),92.8625114,3.133072383,5.649023726,9.316709216,13.71857151,21.13524945,22.93364431,24.37290078,23.81237407,24.92165464,29.31186119,32.60940614,38.19068768,48.9476678,62.21406196,74.98847498,86.30305697,96.21228762,98.75576748,106.9325671,121.6104074,137.5155358,143.5846332,151.2259142,153.648124,151.4159681,152.2466602,157.7429787,167.295153,172.7821796,172.950857,182.9371367,182.2284187,193.8198708
East Asia & Pacific,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),4.085784167,4.153189206,4.197647548,4.287709694,4.404083385,4.633612382,4.645592758,4.64486321,4.572444187,4.566803686,4.682839149,4.75915582,4.91777769,5.258488546,5.683408095,6.085274839,6.429954996,6.720568997,6.756219925,6.983739607,7.426556122,7.901262484,8.036997576,8.222959874,8.238843655,8.107571004,8.076957237,8.194514964,8.446727786,8.575187098,8.545101895,8.835882155,8.795777577,9.139019205
